{'Episode': 69, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -51.210000000000015, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8727237754706968, 'Loss': 0.021768592298030853, 'Goal_Reached': 0}
{'Episode': 70, 'Steps': 3, 'Return': -0.6355749999999999, 'Episode_Reward': -0.65, 'Cumulative_Reward': -51.860000000000014, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8709783279197554, 'Loss': 0.006738081108778715, 'Goal_Reached': 0}
{'Episode': 71, 'Steps': 2, 'Return': -0.6924999999999999, 'Episode_Reward': -0.7, 'Cumulative_Reward': -52.56000000000002, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8692363712639158, 'Loss': 0.008689593523740768, 'Goal_Reached': 0}
{'Episode': 72, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -53.31000000000002, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.867497898521388, 'Loss': 0.032495979219675064, 'Goal_Reached': 0}
{'Episode': 73, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -54.06000000000002, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8657629027243453, 'Loss': 0.032183971256017685, 'Goal_Reached': 0}
{'Episode': 74, 'Steps': 2, 'Return': -0.6924999999999999, 'Episode_Reward': -0.7, 'Cumulative_Reward': -54.76000000000002, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8640313769188966, 'Loss': 0.059195853769779205, 'Goal_Reached': 0}
{'Episode': 75, 'Steps': 2, 'Return': -0.6924999999999999, 'Episode_Reward': -0.7, 'Cumulative_Reward': -55.46000000000002, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8623033141650589, 'Loss': 0.025747889652848244, 'Goal_Reached': 0}
{'Episode': 76, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -56.21000000000002, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8605787075367288, 'Loss': 0.030359793454408646, 'Goal_Reached': 0}
{'Episode': 77, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -56.96000000000002, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8588575501216553, 'Loss': 0.05222681537270546, 'Goal_Reached': 0}
{'Episode': 78, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -57.71000000000002, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.857139835021412, 'Loss': 0.03837022930383682, 'Goal_Reached': 0}
{'Episode': 79, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -58.46000000000002, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8554255553513692, 'Loss': 0.05440560728311539, 'Goal_Reached': 0}
{'Episode': 80, 'Steps': 2, 'Return': -0.6924999999999999, 'Episode_Reward': -0.7, 'Cumulative_Reward': -59.160000000000025, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8537147042406664, 'Loss': 0.029170367866754532, 'Goal_Reached': 0}
{'Episode': 81, 'Steps': 3, 'Return': -0.6355749999999999, 'Episode_Reward': -0.65, 'Cumulative_Reward': -59.810000000000024, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8520072748321851, 'Loss': 0.020667383447289467, 'Goal_Reached': 0}
{'Episode': 82, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -60.560000000000024, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8503032602825207, 'Loss': 0.026290686801075935, 'Goal_Reached': 0}
{'Episode': 83, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -61.310000000000024, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8486026537619556, 'Loss': 0.01974654756486416, 'Goal_Reached': 0}
{'Episode': 84, 'Steps': 9, 'Return': -0.6307844483587105, 'Episode_Reward': -0.69, 'Cumulative_Reward': -62.00000000000002, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8469054484544317, 'Loss': 0.030189698562026024, 'Goal_Reached': 0}
{'Episode': 85, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -62.75000000000002, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8452116375575228, 'Loss': 0.11813554167747498, 'Goal_Reached': 0}
{'Episode': 86, 'Steps': 3, 'Return': -0.6355749999999999, 'Episode_Reward': -0.65, 'Cumulative_Reward': -63.40000000000002, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8435212142824078, 'Loss': 0.05725959315896034, 'Goal_Reached': 0}
{'Episode': 87, 'Steps': 2, 'Return': -0.6924999999999999, 'Episode_Reward': -0.7, 'Cumulative_Reward': -64.10000000000002, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.841834171853843, 'Loss': 0.05799613520503044, 'Goal_Reached': 0}
{'Episode': 88, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -64.85000000000002, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8401505035101353, 'Loss': 0.006957713980227709, 'Goal_Reached': 0}
{'Episode': 89, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -65.60000000000002, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.838470202503115, 'Loss': 0.0418243370950222, 'Goal_Reached': 0}
{'Episode': 90, 'Steps': 4, 'Return': -0.7458362500000001, 'Episode_Reward': -0.77, 'Cumulative_Reward': -66.37000000000002, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8367932620981088, 'Loss': 0.08142514526844025, 'Goal_Reached': 0}
{'Episode': 91, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -67.12000000000002, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8351196755739125, 'Loss': 0.024658912792801857, 'Goal_Reached': 0}
{'Episode': 92, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -67.87000000000002, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8334494362227647, 'Loss': 0.016333244740962982, 'Goal_Reached': 0}
{'Episode': 93, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -68.62000000000002, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8317825373503192, 'Loss': 0.022944839671254158, 'Goal_Reached': 0}
{'Episode': 94, 'Steps': 2, 'Return': -0.6924999999999999, 'Episode_Reward': -0.7, 'Cumulative_Reward': -69.32000000000002, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8301189722756185, 'Loss': 0.014582820236682892, 'Goal_Reached': 0}
{'Episode': 95, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -70.07000000000002, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8284587343310672, 'Loss': 0.045771270990371704, 'Goal_Reached': 0}
{'Episode': 96, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -70.82000000000002, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8268018168624051, 'Loss': 0.016861524432897568, 'Goal_Reached': 0}
