Episode 1, Step 164, Action: 3, Reward: -1.00, Total Reward: -522.90
Episode 1, Step 165, Action: 1, Reward: -1.00, Total Reward: -525.80
Episode 1, Step 166, Action: 2, Reward: -1.00, Total Reward: -529.80
Episode 1, Step 167, Action: 2, Reward: -1.00, Total Reward: -531.80
Episode 1, Step 168, Action: 1, Reward: -1.00, Total Reward: -534.70
Episode 1, Step 169, Action: 0, Reward: -3.00, Total Reward: -538.70
Episode 1, Step 170, Action: 2, Reward: -1.90, Total Reward: -541.60
Episode 1, Step 171, Action: 3, Reward: -3.00, Total Reward: -545.60
Episode 1, Step 172, Action: 0, Reward: -3.20, Total Reward: -551.90
Episode 1, Step 173, Action: 3, Reward: -1.00, Total Reward: -556.20
Episode 1, Step 174, Action: 0, Reward: -3.40, Total Reward: -560.60
Episode 1, Step 175, Action: 0, Reward: -1.00, Total Reward: -562.60
Episode 1, Step 176, Action: 0, Reward: -1.00, Total Reward: -564.60
Episode 1, Step 177, Action: 2, Reward: -2.30, Total Reward: -567.90
Episode 1, Step 178, Action: 1, Reward: -1.00, Total Reward: -569.90
Episode 1, Step 179, Action: 0, Reward: -1.00, Total Reward: -574.30
Episode 1, Step 180, Action: 3, Reward: -1.00, Total Reward: -576.30
Episode 1, Step 181, Action: 3, Reward: -1.00, Total Reward: -578.30
Episode 1, Step 182, Action: 0, Reward: -1.00, Total Reward: -580.30
Episode 1, Step 183, Action: 2, Reward: -2.30, Total Reward: -583.60
Episode 1, Step 184, Action: 1, Reward: -1.00, Total Reward: -585.60
Episode 1, Step 185, Action: 1, Reward: -1.00, Total Reward: -590.00
Episode 1, Step 186, Action: 0, Reward: -1.00, Total Reward: -592.00
Episode 1, Step 187, Action: 1, Reward: -1.00, Total Reward: -594.00
Episode 1, Step 188, Action: 0, Reward: -1.00, Total Reward: -596.00
Episode 1, Step 189, Action: 1, Reward: -1.00, Total Reward: -598.00
Episode 1, Step 190, Action: 2, Reward: -2.30, Total Reward: -601.30
Episode 1, Step 191, Action: 1, Reward: -1.00, Total Reward: -604.50
Episode 1, Step 192, Action: 0, Reward: -3.30, Total Reward: -608.80
Episode 1, Step 193, Action: 1, Reward: -1.00, Total Reward: -613.20
Episode 1, Step 194, Action: 3, Reward: -1.00, Total Reward: -615.20
Episode 1, Step 195, Action: 3, Reward: -1.00, Total Reward: -617.20
Episode 1, Step 196, Action: 1, Reward: -1.00, Total Reward: -619.20
