Episode 169/5000 - Steps: 1, Return: -0.75, Epsilon: 0.950842, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 170/5000 - Steps: 1, Return: -0.75, Epsilon: 0.950557, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 171/5000 - Steps: 2, Return: -0.69, Epsilon: 0.950271, Loss: 0.000, Reward: -0.70, Termination: wall_collision
Episode 172/5000 - Steps: 1, Return: -0.75, Epsilon: 0.949986, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 173/5000 - Steps: 1, Return: -0.75, Epsilon: 0.949701, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 174/5000 - Steps: 2, Return: -0.69, Epsilon: 0.949416, Loss: 0.000, Reward: -0.70, Termination: wall_collision
Episode 175/5000 - Steps: 1, Return: -0.75, Epsilon: 0.949132, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 176/5000 - Steps: 1, Return: -0.75, Epsilon: 0.948847, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 177/5000 - Steps: 1, Return: -0.75, Epsilon: 0.948562, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 178/5000 - Steps: 1, Return: -0.75, Epsilon: 0.948278, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 179/5000 - Steps: 1, Return: -0.75, Epsilon: 0.947993, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 180/5000 - Steps: 1, Return: -0.75, Epsilon: 0.947709, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 181/5000 - Steps: 1, Return: -0.75, Epsilon: 0.947424, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 182/5000 - Steps: 1, Return: -0.75, Epsilon: 0.947140, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 183/5000 - Steps: 5, Return: -0.52, Epsilon: 0.946856, Loss: 0.000, Reward: -0.55, Termination: wall_collision
Episode 184/5000 - Steps: 1, Return: -0.75, Epsilon: 0.946572, Loss: 0.003, Reward: -0.75, Termination: wall_collision
Episode 185/5000 - Steps: 1, Return: -0.75, Epsilon: 0.946288, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 186/5000 - Steps: 1, Return: -0.75, Epsilon: 0.946004, Loss: 0.000, Reward: -0.75, Termination: wall_collision
